temporada,episodio,nome_frame,cor_1_rgb,proporcao_cor_1,cor_2_rgb,proporcao_cor_2,cor_3_rgb,proporcao_cor_3,cor_4_rgb,proporcao_cor_4,cor_5_rgb,proporcao_cor_5
s01,e01,frame_000147.png,"[1, 1, 1]",0.4436,"[13, 16, 20]",0.274,"[8, 10, 10]",0.2084,"[23, 25, 29]",0.0612,"[79, 61, 60]",0.0128
s01,e01,frame_000148.png,"[0, 0, 0]",0.2779,"[12, 11, 12]",0.2571,"[34, 34, 38]",0.2554,"[23, 24, 26]",0.2083,"[151, 153, 158]",0.0013
s01,e01,frame_000149.png,"[14, 13, 15]",0.3298,"[0, 0, 0]",0.2641,"[28, 28, 32]",0.2399,"[38, 37, 42]",0.1648,"[156, 158, 162]",0.0014
s01,e01,frame_000150.png,"[14, 14, 16]",0.4286,"[0, 0, 0]",0.2914,"[33, 33, 37]",0.2389,"[49, 46, 53]",0.0399,"[173, 174, 177]",0.0012
s01,e01,frame_000151.png,"[11, 12, 12]",0.5232,"[3, 4, 4]",0.4019,"[41, 29, 25]",0.0522,"[78, 60, 58]",0.0208,"[173, 168, 164]",0.0019
s01,e01,frame_000152.png,"[1, 0, 0]",0.6069,"[15, 11, 8]",0.2131,"[31, 25, 22]",0.1149,"[50, 45, 40]",0.0565,"[95, 93, 92]",0.0086
s01,e01,frame_000153.png,"[3, 1, 1]",0.5367,"[18, 12, 11]",0.3129,"[42, 35, 32]",0.0829,"[72, 65, 63]",0.0498,"[120, 97, 102]",0.0177
s01,e01,frame_000154.png,"[7, 3, 2]",0.5134,"[21, 15, 12]",0.2966,"[44, 36, 31]",0.1206,"[70, 67, 66]",0.0606,"[152, 122, 100]",0.0088
s01,e01,frame_000155.png,"[8, 3, 1]",0.5427,"[21, 15, 13]",0.2757,"[40, 31, 27]",0.1156,"[67, 60, 55]",0.0577,"[149, 120, 101]",0.0083
s01,e01,frame_000156.png,"[2, 1, 1]",0.4104,"[11, 9, 6]",0.2725,"[22, 16, 13]",0.2215,"[40, 32, 28]",0.0725,"[67, 57, 45]",0.0231
s01,e01,frame_000157.png,"[2, 1, 1]",0.5697,"[14, 10, 7]",0.2049,"[26, 19, 17]",0.1316,"[52, 41, 30]",0.0635,"[77, 64, 52]",0.0303
s01,e01,frame_000158.png,"[1, 0, 0]",0.5685,"[16, 11, 8]",0.2075,"[31, 24, 20]",0.1152,"[51, 45, 38]",0.0782,"[80, 75, 72]",0.0306
s01,e01,frame_000159.png,"[3, 1, 1]",0.6078,"[18, 13, 10]",0.244,"[37, 27, 21]",0.0758,"[61, 49, 34]",0.0566,"[88, 73, 66]",0.0158
s01,e01,frame_000160.png,"[2, 1, 1]",0.5816,"[15, 11, 8]",0.2007,"[27, 20, 17]",0.118,"[53, 41, 30]",0.071,"[80, 67, 54]",0.0287
s01,e01,frame_000161.png,"[12, 7, 5]",0.5493,"[30, 22, 17]",0.2371,"[53, 45, 38]",0.1339,"[88, 81, 74]",0.0664,"[184, 156, 129]",0.0133
s01,e01,frame_000162.png,"[0, 1, 2]",0.3987,"[6, 30, 40]",0.3251,"[1, 16, 25]",0.2496,"[73, 96, 100]",0.0227,"[204, 208, 210]",0.0039
s01,e01,frame_000163.png,"[0, 0, 4]",0.3907,"[0, 4, 10]",0.2043,"[0, 13, 22]",0.1968,"[1, 19, 30]",0.1756,"[7, 37, 50]",0.0326
s01,e01,frame_000164.png,"[2, 2, 2]",0.5434,"[2, 14, 17]",0.3771,"[13, 24, 33]",0.0425,"[24, 41, 54]",0.024,"[45, 62, 77]",0.013
s01,e01,frame_000165.png,"[2, 2, 2]",0.496,"[1, 9, 12]",0.3288,"[8, 21, 27]",0.1133,"[24, 40, 52]",0.0395,"[51, 68, 84]",0.0224
s01,e01,frame_000166.png,"[3, 12, 19]",0.3308,"[0, 2, 5]",0.3037,"[8, 19, 28]",0.276,"[17, 30, 40]",0.0774,"[45, 54, 56]",0.0121
s01,e01,frame_000167.png,"[2, 2, 2]",0.4717,"[2, 11, 14]",0.3272,"[7, 18, 24]",0.123,"[18, 33, 44]",0.0566,"[37, 54, 69]",0.0215
s01,e01,frame_000168.png,"[1, 1, 3]",0.839,"[7, 10, 16]",0.0888,"[16, 23, 30]",0.0431,"[39, 44, 50]",0.023,"[59, 71, 89]",0.0061
s01,e01,frame_000169.png,"[0, 0, 0]",0.6045,"[0, 3, 6]",0.1674,"[0, 8, 11]",0.1229,"[2, 12, 17]",0.069,"[6, 18, 27]",0.0362
s01,e01,frame_000170.png,"[3, 12, 17]",0.3902,"[0, 3, 4]",0.3148,"[9, 22, 30]",0.1667,"[22, 40, 51]",0.0868,"[49, 66, 82]",0.0415
s01,e01,frame_000171.png,"[3, 13, 18]",0.4188,"[0, 4, 5]",0.3436,"[11, 25, 34]",0.1333,"[24, 41, 53]",0.0687,"[50, 67, 84]",0.0356
s01,e01,frame_000172.png,"[1, 10, 12]",0.4622,"[0, 0, 1]",0.278,"[8, 21, 29]",0.1692,"[22, 40, 52]",0.0657,"[50, 69, 85]",0.0249
s01,e01,frame_000173.png,"[2, 1, 4]",0.3707,"[18, 33, 45]",0.2193,"[31, 51, 66]",0.2094,"[6, 14, 21]",0.1879,"[90, 83, 96]",0.0127
s01,e01,frame_000174.png,"[2, 3, 6]",0.4502,"[14, 26, 37]",0.2343,"[26, 44, 59]",0.2068,"[38, 58, 74]",0.0973,"[96, 92, 105]",0.0114
s01,e01,frame_000175.png,"[2, 2, 5]",0.6234,"[14, 21, 30]",0.1886,"[11, 12, 15]",0.101,"[25, 36, 43]",0.0657,"[43, 62, 68]",0.0213
s01,e01,frame_000176.png,"[2, 1, 4]",0.5909,"[19, 29, 39]",0.1548,"[12, 14, 18]",0.1255,"[27, 43, 52]",0.0977,"[41, 61, 73]",0.0311
s01,e01,frame_000177.png,"[1, 1, 2]",0.3973,"[13, 19, 27]",0.1914,"[9, 10, 14]",0.1671,"[17, 31, 37]",0.1387,"[22, 49, 51]",0.1055
s01,e01,frame_000178.png,"[1, 1, 3]",0.3988,"[13, 18, 25]",0.218,"[7, 9, 13]",0.1448,"[17, 31, 37]",0.1365,"[23, 49, 51]",0.1019
s01,e01,frame_000179.png,"[2, 2, 3]",0.4739,"[12, 14, 17]",0.1798,"[19, 25, 33]",0.1755,"[26, 40, 50]",0.1505,"[50, 57, 71]",0.0203
s01,e01,frame_000180.png,"[2, 2, 3]",0.4511,"[12, 12, 15]",0.1826,"[18, 23, 30]",0.1821,"[25, 38, 47]",0.1565,"[48, 55, 69]",0.0277
s01,e01,frame_000181.png,"[1, 2, 3]",0.4265,"[13, 20, 25]",0.2338,"[9, 12, 14]",0.2328,"[34, 49, 60]",0.0543,"[22, 33, 41]",0.0526
s01,e01,frame_000182.png,"[1, 1, 2]",0.5763,"[16, 22, 27]",0.1536,"[9, 11, 15]",0.1473,"[20, 40, 43]",0.0973,"[42, 52, 60]",0.0255
s01,e01,frame_000183.png,"[2, 1, 3]",0.554,"[18, 26, 35]",0.1652,"[12, 13, 16]",0.148,"[27, 41, 50]",0.1093,"[45, 60, 71]",0.0235
s01,e01,frame_000184.png,"[2, 1, 4]",0.5336,"[18, 26, 36]",0.1695,"[10, 12, 15]",0.1522,"[26, 40, 50]",0.1141,"[41, 56, 67]",0.0306
s01,e01,frame_000185.png,"[2, 2, 2]",0.4279,"[10, 10, 12]",0.214,"[16, 22, 28]",0.1878,"[27, 34, 40]",0.1147,"[40, 49, 61]",0.0556
s01,e01,frame_000186.png,"[2, 1, 3]",0.4977,"[11, 22, 29]",0.2133,"[18, 37, 41]",0.1285,"[8, 10, 15]",0.1086,"[32, 55, 59]",0.0519
s01,e01,frame_000187.png,"[4, 15, 25]",0.3123,"[0, 4, 10]",0.3011,"[14, 32, 43]",0.2702,"[23, 42, 56]",0.1098,"[74, 89, 105]",0.0066
s01,e01,frame_000188.png,"[0, 4, 9]",0.2874,"[0, 0, 2]",0.2755,"[3, 11, 17]",0.2642,"[9, 19, 27]",0.1676,"[32, 44, 54]",0.0053
s01,e01,frame_000189.png,"[0, 0, 0]",0.5437,"[1, 4, 8]",0.163,"[6, 11, 16]",0.1538,"[11, 19, 25]",0.1262,"[41, 48, 56]",0.0133
s01,e01,frame_000190.png,"[0, 1, 3]",0.3061,"[4, 9, 13]",0.3014,"[10, 16, 21]",0.2856,"[19, 25, 32]",0.1011,"[54, 53, 60]",0.0058
s01,e01,frame_000191.png,"[2, 2, 3]",0.4628,"[4, 7, 12]",0.2391,"[16, 26, 33]",0.1151,"[9, 15, 21]",0.1128,"[24, 36, 42]",0.0702
s01,e01,frame_000192.png,"[1, 2, 3]",0.4932,"[12, 14, 15]",0.2933,"[28, 30, 31]",0.1664,"[72, 62, 60]",0.0293,"[119, 117, 117]",0.0178
s01,e01,frame_000193.png,"[1, 0, 1]",0.5423,"[9, 19, 24]",0.1474,"[2, 3, 6]",0.1329,"[7, 11, 16]",0.1196,"[18, 29, 34]",0.0578
s01,e01,frame_000194.png,"[7, 14, 23]",0.445,"[2, 3, 8]",0.3128,"[16, 27, 33]",0.2115,"[40, 54, 65]",0.0268,"[99, 109, 115]",0.0039
s01,e01,frame_000195.png,"[3, 4, 8]",0.3576,"[7, 13, 21]",0.3501,"[16, 26, 35]",0.2214,"[30, 42, 54]",0.0637,"[93, 99, 111]",0.0072
s01,e01,frame_000196.png,"[4, 5, 4]",0.6302,"[14, 16, 16]",0.274,"[44, 36, 34]",0.0375,"[76, 59, 57]",0.0317,"[117, 86, 84]",0.0266
s01,e01,frame_000197.png,"[1, 1, 3]",0.4198,"[4, 7, 10]",0.2791,"[7, 11, 15]",0.1832,"[13, 17, 23]",0.0871,"[31, 32, 40]",0.0308
s01,e01,frame_000198.png,"[2, 2, 2]",0.2981,"[16, 16, 16]",0.2845,"[10, 9, 9]",0.2165,"[23, 22, 22]",0.1426,"[32, 30, 30]",0.0583
s01,e01,frame_000199.png,"[3, 2, 2]",0.7982,"[21, 18, 20]",0.1092,"[51, 44, 45]",0.0598,"[112, 82, 80]",0.0258,"[170, 123, 114]",0.007
s01,e01,frame_000200.png,"[5, 4, 4]",0.7068,"[20, 18, 19]",0.1762,"[54, 45, 45]",0.0778,"[131, 93, 88]",0.0313,"[223, 180, 170]",0.0079
s01,e01,frame_000201.png,"[5, 5, 5]",0.3632,"[18, 17, 16]",0.2989,"[34, 30, 30]",0.1532,"[56, 48, 46]",0.0938,"[80, 65, 62]",0.0909
s01,e01,frame_000202.png,"[2, 2, 2]",0.5787,"[10, 11, 11]",0.233,"[23, 22, 23]",0.1,"[37, 36, 36]",0.0638,"[66, 56, 53]",0.0245
s01,e01,frame_000203.png,"[21, 24, 25]",0.4338,"[6, 5, 5]",0.4241,"[52, 47, 46]",0.1162,"[96, 89, 89]",0.0159,"[224, 221, 219]",0.01
s01,e01,frame_000204.png,"[9, 9, 11]",0.5436,"[22, 27, 28]",0.3272,"[56, 54, 56]",0.1071,"[154, 111, 118]",0.0113,"[249, 242, 243]",0.0108
s01,e01,frame_000205.png,"[12, 18, 24]",0.3975,"[2, 2, 5]",0.2696,"[6, 10, 15]",0.232,"[30, 31, 32]",0.0764,"[57, 45, 44]",0.0245
s01,e01,frame_000206.png,"[3, 4, 10]",0.3461,"[14, 18, 24]",0.2822,"[8, 11, 16]",0.221,"[1, 1, 3]",0.1017,"[30, 31, 36]",0.049
s01,e01,frame_000207.png,"[2, 3, 5]",0.3515,"[7, 10, 14]",0.3007,"[12, 18, 26]",0.1759,"[20, 28, 38]",0.15,"[37, 48, 62]",0.0219
s01,e01,frame_000208.png,"[2, 2, 2]",0.6428,"[2, 3, 5]",0.1903,"[6, 9, 13]",0.081,"[14, 19, 27]",0.0701,"[32, 38, 45]",0.0158
s01,e01,frame_000209.png,"[32, 36, 43]",0.4705,"[12, 13, 17]",0.3621,"[84, 71, 76]",0.0992,"[157, 123, 125]",0.0445,"[235, 201, 196]",0.0237
s01,e01,frame_000210.png,"[4, 4, 4]",0.4928,"[16, 17, 21]",0.2459,"[31, 36, 42]",0.1988,"[76, 73, 79]",0.0516,"[172, 159, 158]",0.0109
s01,e01,frame_000211.png,"[4, 3, 4]",0.368,"[14, 13, 16]",0.3441,"[60, 60, 67]",0.1425,"[35, 33, 38]",0.0959,"[91, 85, 94]",0.0495
s01,e01,frame_000212.png,"[1, 0, 0]",0.3846,"[1, 0, 2]",0.2932,"[0, 0, 0]",0.1791,"[0, 0, 2]",0.0752,"[1, 0, 0]",0.0679
s01,e01,frame_000213.png,"[25, 18, 12]",0.5366,"[64, 56, 45]",0.2929,"[118, 109, 95]",0.0792,"[240, 234, 227]",0.0473,"[196, 185, 170]",0.044
s01,e01,frame_000214.png,"[14, 10, 9]",0.4456,"[52, 43, 40]",0.2623,"[106, 95, 89]",0.1285,"[250, 249, 247]",0.1199,"[183, 168, 152]",0.0437
s01,e01,frame_000215.png,"[16, 11, 10]",0.454,"[53, 44, 41]",0.2311,"[101, 90, 84]",0.1308,"[250, 248, 245]",0.1204,"[174, 157, 141]",0.0637
s01,e01,frame_000216.png,"[15, 11, 10]",0.4322,"[48, 38, 36]",0.2518,"[91, 82, 76]",0.1545,"[249, 247, 244]",0.1025,"[169, 151, 136]",0.059
s01,e01,frame_000217.png,"[14, 10, 9]",0.428,"[50, 40, 37]",0.2824,"[95, 86, 80]",0.143,"[249, 248, 245]",0.089,"[168, 152, 139]",0.0576
s01,e01,frame_000218.png,"[52, 25, 25]",0.3908,"[10, 6, 5]",0.3626,"[87, 64, 68]",0.1055,"[143, 143, 133]",0.0868,"[234, 226, 212]",0.0543
s01,e01,frame_000219.png,"[7, 4, 3]",0.4165,"[43, 29, 26]",0.3419,"[170, 160, 149]",0.1124,"[239, 225, 212]",0.0729,"[85, 60, 55]",0.0563
s01,e01,frame_000220.png,"[7, 4, 3]",0.5061,"[46, 31, 29]",0.2468,"[173, 161, 149]",0.1219,"[240, 226, 213]",0.0711,"[101, 76, 71]",0.0541
s01,e01,frame_000221.png,"[32, 23, 21]",0.4015,"[12, 7, 6]",0.3348,"[61, 52, 50]",0.168,"[111, 101, 96]",0.074,"[199, 178, 161]",0.0217
s01,e01,frame_000222.png,"[8, 4, 3]",0.4093,"[43, 28, 26]",0.3157,"[150, 146, 135]",0.1444,"[233, 222, 210]",0.0762,"[94, 70, 67]",0.0544
s01,e01,frame_000223.png,"[6, 4, 4]",0.5922,"[39, 31, 31]",0.2435,"[70, 66, 70]",0.0882,"[123, 122, 122]",0.0644,"[243, 217, 204]",0.0117
s01,e01,frame_000224.png,"[5, 4, 3]",0.5766,"[32, 27, 27]",0.2191,"[65, 58, 63]",0.1238,"[120, 117, 119]",0.0653,"[233, 209, 200]",0.0152
s01,e01,frame_000225.png,"[21, 15, 10]",0.391,"[58, 49, 41]",0.2693,"[253, 249, 246]",0.195,"[210, 184, 175]",0.0814,"[114, 101, 93]",0.0633
s01,e01,frame_000226.png,"[18, 18, 15]",0.4088,"[52, 50, 46]",0.2944,"[243, 241, 239]",0.1179,"[108, 103, 97]",0.0944,"[177, 171, 167]",0.0845
s01,e01,frame_000227.png,"[7, 6, 3]",0.435,"[32, 29, 21]",0.2924,"[59, 54, 44]",0.1723,"[95, 87, 79]",0.0791,"[165, 154, 143]",0.0212
s01,e01,frame_000228.png,"[8, 7, 7]",0.467,"[50, 44, 42]",0.2089,"[115, 109, 102]",0.1216,"[187, 189, 176]",0.1045,"[251, 252, 250]",0.098
s01,e01,frame_000229.png,"[10, 9, 9]",0.3845,"[246, 247, 244]",0.2289,"[48, 40, 40]",0.2016,"[88, 80, 81]",0.1209,"[162, 157, 153]",0.0641
s01,e01,frame_000230.png,"[8, 7, 7]",0.4897,"[45, 40, 40]",0.1812,"[247, 248, 245]",0.1218,"[182, 184, 173]",0.1057,"[93, 85, 84]",0.1016
s01,e01,frame_000231.png,"[7, 6, 5]",0.3933,"[38, 31, 27]",0.2469,"[67, 59, 53]",0.192,"[87, 89, 92]",0.1437,"[163, 143, 137]",0.0241
s01,e01,frame_000232.png,"[4, 3, 4]",0.3368,"[27, 26, 27]",0.3105,"[67, 65, 66]",0.1319,"[175, 131, 124]",0.1105,"[123, 101, 96]",0.1103
s01,e01,frame_000233.png,"[5, 4, 4]",0.537,"[19, 17, 18]",0.2365,"[39, 37, 41]",0.1555,"[71, 69, 78]",0.0507,"[143, 140, 142]",0.0203
s01,e01,frame_000234.png,"[2, 1, 1]",0.3221,"[30, 24, 23]",0.3166,"[19, 15, 14]",0.238,"[48, 38, 33]",0.1086,"[84, 82, 81]",0.0147
s01,e01,frame_000235.png,"[54, 52, 54]",0.2763,"[18, 16, 17]",0.275,"[99, 92, 90]",0.2135,"[250, 249, 245]",0.1555,"[160, 149, 141]",0.0797
s01,e01,frame_000236.png,"[4, 3, 3]",0.4234,"[30, 26, 23]",0.2108,"[55, 50, 47]",0.2038,"[82, 75, 71]",0.1268,"[126, 114, 108]",0.0352
s01,e01,frame_000237.png,"[16, 15, 17]",0.4078,"[253, 253, 252]",0.2467,"[57, 57, 59]",0.1847,"[105, 106, 104]",0.12,"[169, 165, 156]",0.0408
s01,e01,frame_000238.png,"[4, 4, 4]",0.5955,"[23, 23, 27]",0.2507,"[61, 62, 63]",0.096,"[247, 247, 244]",0.0307,"[138, 141, 136]",0.0271
s01,e01,frame_000239.png,"[7, 5, 5]",0.5254,"[35, 31, 33]",0.1594,"[124, 121, 128]",0.1577,"[169, 166, 178]",0.0845,"[79, 71, 68]",0.073
s01,e01,frame_000240.png,"[6, 6, 6]",0.5882,"[30, 30, 34]",0.235,"[72, 74, 75]",0.0924,"[251, 251, 249]",0.0555,"[154, 158, 152]",0.0289
s01,e01,frame_000241.png,"[10, 8, 9]",0.3213,"[52, 50, 53]",0.2122,"[249, 250, 250]",0.2084,"[98, 95, 97]",0.1848,"[170, 165, 168]",0.0733
s01,e01,frame_000242.png,"[9, 8, 8]",0.3953,"[51, 51, 54]",0.2863,"[88, 87, 90]",0.2018,"[157, 148, 150]",0.067,"[237, 239, 244]",0.0496
s01,e01,frame_000243.png,"[12, 10, 12]",0.5468,"[253, 252, 253]",0.1756,"[35, 35, 38]",0.1736,"[76, 76, 77]",0.0872,"[160, 148, 148]",0.0168
s01,e01,frame_000244.png,"[14, 11, 12]",0.3152,"[45, 41, 43]",0.1965,"[226, 234, 233]",0.1945,"[169, 178, 191]",0.189,"[118, 119, 127]",0.1048
s01,e01,frame_000245.png,"[11, 10, 13]",0.5406,"[51, 49, 52]",0.2002,"[250, 251, 251]",0.115,"[102, 101, 101]",0.1105,"[172, 169, 169]",0.0337
s01,e01,frame_000246.png,"[17, 15, 15]",0.4601,"[244, 246, 244]",0.1898,"[59, 59, 60]",0.1673,"[193, 196, 202]",0.1148,"[142, 140, 146]",0.068
s01,e01,frame_000247.png,"[11, 8, 8]",0.3815,"[43, 43, 47]",0.2471,"[75, 76, 76]",0.1858,"[121, 117, 114]",0.1134,"[185, 172, 167]",0.0722
s01,e01,frame_000248.png,"[16, 14, 12]",0.3957,"[249, 249, 251]",0.2509,"[58, 57, 55]",0.2239,"[196, 196, 205]",0.0767,"[108, 105, 102]",0.0528
s01,e01,frame_000249.png,"[17, 16, 17]",0.3987,"[51, 51, 53]",0.2495,"[249, 248, 244]",0.1706,"[94, 91, 92]",0.1259,"[179, 171, 172]",0.0553
s01,e01,frame_000250.png,"[14, 12, 13]",0.345,"[43, 42, 43]",0.2254,"[246, 245, 242]",0.175,"[83, 81, 83]",0.1464,"[170, 165, 170]",0.1082
s01,e01,frame_000251.png,"[15, 12, 10]",0.416,"[51, 49, 49]",0.2158,"[245, 244, 240]",0.1441,"[95, 87, 86]",0.1266,"[169, 164, 168]",0.0975
s01,e01,frame_000252.png,"[15, 12, 7]",0.4262,"[63, 52, 47]",0.2077,"[198, 195, 199]",0.1824,"[120, 95, 88]",0.1118,"[168, 141, 136]",0.0719
s01,e01,frame_000253.png,"[5, 4, 3]",0.4626,"[44, 40, 36]",0.2248,"[87, 78, 66]",0.1593,"[133, 121, 107]",0.1076,"[203, 202, 197]",0.0457
s01,e01,frame_000254.png,"[11, 9, 8]",0.3731,"[252, 252, 251]",0.2285,"[48, 48, 46]",0.2104,"[93, 95, 87]",0.1417,"[170, 166, 156]",0.0463
s01,e01,frame_000255.png,"[57, 60, 57]",0.3057,"[103, 99, 90]",0.2425,"[23, 19, 16]",0.2315,"[251, 251, 251]",0.1733,"[173, 170, 161]",0.047
s01,e01,frame_000256.png,"[11, 9, 8]",0.6958,"[64, 62, 59]",0.1139,"[170, 176, 183]",0.077,"[124, 128, 126]",0.0692,"[243, 243, 242]",0.0441
s01,e01,frame_000257.png,"[13, 10, 8]",0.6,"[55, 52, 46]",0.1443,"[99, 105, 101]",0.1219,"[145, 149, 146]",0.0913,"[203, 207, 209]",0.0425
s01,e01,frame_000258.png,"[13, 10, 9]",0.6072,"[38, 35, 32]",0.1861,"[78, 78, 78]",0.1086,"[118, 121, 120]",0.0724,"[190, 184, 174]",0.0257
s01,e01,frame_000259.png,"[8, 5, 5]",0.6428,"[28, 22, 18]",0.2339,"[49, 42, 37]",0.0763,"[95, 87, 82]",0.0275,"[171, 171, 174]",0.0195
s01,e01,frame_000260.png,"[6, 6, 6]",0.5657,"[118, 119, 122]",0.1446,"[176, 174, 182]",0.0986,"[238, 239, 249]",0.0967,"[60, 58, 60]",0.0944
s01,e01,frame_000261.png,"[30, 32, 33]",0.3162,"[12, 11, 13]",0.2354,"[52, 52, 56]",0.2153,"[77, 71, 79]",0.1929,"[102, 108, 115]",0.0402
s01,e01,frame_000262.png,"[5, 2, 0]",0.616,"[35, 25, 17]",0.192,"[81, 70, 57]",0.1048,"[134, 122, 107]",0.0489,"[215, 212, 209]",0.0383
s01,e01,frame_000263.png,"[3, 1, 0]",0.4592,"[27, 17, 8]",0.235,"[47, 35, 21]",0.2226,"[75, 65, 52]",0.0596,"[118, 107, 104]",0.0236
s01,e01,frame_000264.png,"[7, 4, 2]",0.4195,"[29, 22, 18]",0.2876,"[60, 49, 41]",0.1761,"[93, 81, 79]",0.0895,"[152, 149, 155]",0.0273
s01,e01,frame_000265.png,"[10, 8, 6]",0.4609,"[85, 61, 56]",0.2287,"[42, 33, 29]",0.1756,"[133, 129, 128]",0.0894,"[252, 252, 250]",0.0454
s01,e01,frame_000266.png,"[9, 5, 4]",0.4721,"[34, 27, 22]",0.2807,"[70, 56, 50]",0.1714,"[102, 98, 98]",0.0535,"[158, 156, 161]",0.0223
s01,e01,frame_000267.png,"[7, 3, 2]",0.4032,"[27, 21, 17]",0.2856,"[56, 46, 39]",0.1747,"[88, 76, 73]",0.1052,"[145, 142, 147]",0.0313
s01,e01,frame_000268.png,"[10, 6, 4]",0.5048,"[36, 29, 23]",0.2428,"[71, 56, 49]",0.1673,"[99, 94, 94]",0.0629,"[155, 151, 157]",0.0222
s01,e01,frame_000269.png,"[8, 5, 4]",0.4639,"[34, 27, 22]",0.2875,"[74, 58, 51]",0.1614,"[110, 104, 102]",0.0691,"[171, 166, 172]",0.0181
s01,e01,frame_000270.png,"[3, 0, 0]",0.5671,"[50, 38, 25]",0.1559,"[28, 17, 9]",0.1388,"[88, 81, 63]",0.0703,"[172, 170, 152]",0.0679
s01,e01,frame_000271.png,"[10, 8, 7]",0.5013,"[164, 161, 156]",0.188,"[138, 133, 124]",0.1222,"[189, 187, 191]",0.1155,"[70, 61, 58]",0.073
s01,e01,frame_000272.png,"[6, 2, 0]",0.6306,"[47, 34, 20]",0.2191,"[83, 75, 59]",0.07,"[190, 191, 176]",0.045,"[149, 145, 128]",0.0353
s01,e01,frame_000273.png,"[8, 3, 1]",0.5724,"[46, 34, 22]",0.2037,"[86, 80, 65]",0.0909,"[158, 157, 136]",0.0684,"[195, 198, 182]",0.0646
s01,e01,frame_000274.png,"[8, 6, 5]",0.5243,"[28, 23, 19]",0.2919,"[60, 54, 46]",0.0905,"[103, 92, 80]",0.0663,"[155, 136, 131]",0.027
s01,e01,frame_000275.png,"[11, 8, 8]",0.4854,"[177, 173, 158]",0.166,"[70, 65, 51]",0.152,"[142, 135, 114]",0.122,"[209, 211, 211]",0.0746
s01,e01,frame_000276.png,"[8, 4, 3]",0.4534,"[33, 26, 21]",0.27,"[69, 54, 47]",0.1863,"[104, 96, 94]",0.0695,"[157, 153, 158]",0.0208
s01,e01,frame_000277.png,"[6, 4, 5]",0.7986,"[50, 43, 42]",0.0896,"[253, 250, 246]",0.0515,"[100, 99, 90]",0.0324,"[206, 181, 161]",0.0279
s01,e01,frame_000278.png,"[5, 4, 5]",0.7899,"[41, 36, 35]",0.0995,"[253, 250, 246]",0.0543,"[98, 101, 93]",0.043,"[189, 168, 153]",0.0133
s01,e01,frame_000279.png,"[78, 94, 115]",0.3671,"[95, 113, 135]",0.2435,"[115, 133, 156]",0.1871,"[60, 74, 88]",0.1496,"[23, 32, 41]",0.0527
s01,e01,frame_000280.png,"[4, 4, 6]",0.6358,"[29, 27, 28]",0.1603,"[93, 92, 83]",0.1188,"[248, 247, 246]",0.0463,"[157, 152, 150]",0.0388
s01,e01,frame_000281.png,"[6, 6, 6]",0.6317,"[33, 34, 33]",0.1844,"[68, 70, 66]",0.0866,"[123, 116, 110]",0.0496,"[224, 220, 211]",0.0477
s01,e01,frame_000282.png,"[76, 92, 108]",0.3489,"[93, 109, 126]",0.2928,"[114, 132, 146]",0.1922,"[56, 69, 82]",0.1084,"[18, 24, 33]",0.0577
s01,e01,frame_000283.png,"[76, 90, 111]",0.3483,"[92, 108, 127]",0.3009,"[115, 130, 147]",0.1659,"[49, 61, 75]",0.1139,"[16, 20, 28]",0.071
s01,e01,frame_000284.png,"[129, 138, 151]",0.4802,"[29, 37, 48]",0.1538,"[102, 112, 121]",0.1524,"[67, 76, 84]",0.1104,"[6, 8, 9]",0.1032
s01,e01,frame_000285.png,"[2, 2, 2]",0.4153,"[10, 10, 10]",0.2073,"[27, 26, 24]",0.195,"[45, 43, 40]",0.1352,"[87, 85, 79]",0.0472
s01,e01,frame_000286.png,"[1, 1, 2]",0.6158,"[72, 80, 96]",0.1034,"[95, 104, 124]",0.1019,"[119, 128, 147]",0.0961,"[32, 39, 50]",0.0828
s01,e01,frame_000287.png,"[2, 2, 3]",0.3751,"[11, 11, 11]",0.2586,"[31, 30, 28]",0.2165,"[57, 54, 51]",0.0815,"[96, 95, 89]",0.0683
s01,e01,frame_000288.png,"[12, 14, 18]",0.2583,"[40, 45, 47]",0.2203,"[117, 126, 146]",0.196,"[65, 73, 83]",0.1716,"[98, 107, 123]",0.1538
s01,e01,frame_000289.png,"[6, 6, 7]",0.6138,"[36, 35, 35]",0.1936,"[76, 76, 73]",0.1002,"[160, 148, 139]",0.0602,"[250, 247, 242]",0.0322
s01,e01,frame_000290.png,"[10, 16, 24]",0.3487,"[6, 6, 8]",0.3228,"[16, 29, 40]",0.2341,"[31, 51, 64]",0.0852,"[72, 88, 98]",0.0092
s01,e01,frame_000291.png,"[11, 17, 25]",0.4845,"[7, 8, 12]",0.4075,"[18, 27, 34]",0.0839,"[36, 48, 57]",0.0154,"[79, 103, 112]",0.0087
s01,e01,frame_000292.png,"[4, 5, 8]",0.4448,"[14, 23, 32]",0.3281,"[21, 38, 51]",0.1052,"[34, 57, 75]",0.0963,"[52, 81, 105]",0.0256
s01,e01,frame_000293.png,"[5, 4, 7]",0.4447,"[21, 33, 43]",0.2196,"[14, 19, 23]",0.1884,"[37, 59, 75]",0.1245,"[65, 92, 115]",0.0228
s01,e01,frame_000294.png,"[7, 6, 9]",0.636,"[17, 20, 23]",0.2313,"[31, 37, 44]",0.0993,"[68, 71, 77]",0.0283,"[183, 183, 184]",0.0051
